jar,bytes,status,namespaces,namespace_count,has_en_us,has_ko_kr,classification,error
FarmersDelight-1.21.1-1.3.2.jar,3163042,ok,farmersdelight,1,True,True,en_and_ko,
farmingforblockheads-neoforge-1.21.1-21.1.13.jar,830933,ok,farmingforblockheads,1,True,True,en_and_ko,
FastFurnace-1.21.1-9.0.1.jar,4623,ok,,0,False,False,no_target_language_file,
FastSuite-1.21.1-6.0.7.jar,28193,ok,,0,False,False,no_target_language_file,
FastWorkbench-1.21.1-9.1.3.jar,28635,ok,fastbench,1,True,False,en_only,
ferritecore-7.0.3-neoforge.jar,121559,ok,,0,False,False,no_target_language_file,
fireproofboats-1.21.1-1.0.4.jar,39734,ok,fireproofboats,1,True,False,en_only,
flickerfix-1.21.1-6.1.0.jar,4566,ok,,0,False,False,no_target_language_file,
FluxNetworks-1.21.1-8.0.0.jar,535938,ok,fluxnetworks,1,True,False,en_only,
forbidden_arcanus-2.6.1.jar,3402083,ok,forbidden_arcanus,1,True,False,en_only,
formations-1.0.4-neoforge-mc1.21.jar,287525,ok,formations,1,True,False,en_only,
formationsnether-1.0.5-mc1.21+.jar,942046,ok,,0,False,False,no_target_language_file,
formationsoverworld-1.0.5-mc1.21+.jar,873370,ok,,0,False,False,no_target_language_file,
FramedBlocks-10.6.0.jar,4306442,ok,framedblocks,1,True,False,en_only,
framework-neoforge-1.21.1-0.13.11.jar,387334,ok,,0,False,False,no_target_language_file,
ftb-chunks-neoforge-2101.1.20.jar,655911,ok,ftbchunks,1,True,True,en_and_ko,
ftb-essentials-neoforge-2101.1.9.jar,209459,ok,ftbessentials,1,True,False,en_only,
ftb-filter-system-neoforge-21.1.4.jar,211671,ok,ftbfiltersystem,1,True,False,en_only,
ftb-jei-extras-21.1.7.jar,69759,ok,ftbjeiextras,1,True,False,en_only,
ftb-library-neoforge-2101.1.32.jar,1416263,ok,ftblibrary,1,True,False,en_only,
ftb-quests-neoforge-2101.1.27.jar,1470929,ok,ftbquests,1,True,False,en_only,
ftb-ranks-neoforge-2101.1.3.jar,88382,ok,,0,False,False,no_target_language_file,
ftb-teams-neoforge-2101.1.10.jar,302712,ok,ftbteams,1,True,True,en_and_ko,
ftb-ultimine-neoforge-2101.1.15.jar,177109,ok,ftbultimine,1,True,True,en_and_ko,
ftb-xmod-compat-neoforge-21.1.8.jar,141328,ok,ftbxmodcompat,1,True,False,en_only,
ftbquestslangsplitter-1.0.5.jar,201142,ok,ftbquestslangsplitter,1,True,False,en_only,
fuelgoeshere-1.21.1-1.2.0.jar,7564,ok,,0,False,False,no_target_language_file,
functionalstorage-1.21.1-1.5.7.jar,776635,ok,functionalstorage,1,True,True,en_and_ko,
