jar,namespace,en_path,ko_path,en_status,ko_status,en_keys,ko_keys,shared_keys,missing_in_ko,ko_only_keys,error
regions_unexplored-neoforge-1.21.1-0.5.9.jar,regions_unexplored,assets/regions_unexplored/lang/en_us.json,,ok,missing,836,0,0,836,0,
relics-1.21.1-0.12.8.jar,relics,assets/relics/lang/en_us.json,,ok,missing,547,0,0,547,0,
reliquary-1.21.1-2.0.80.1570.jar,reliquary,assets/reliquary/lang/en_us.json,assets/reliquary/lang/ko_kr.json,ok,ok,551,362,362,189,0,
reliquified_artifacts-1.21.1-1.0.8.jar,reliquified_artifacts,assets/reliquified_artifacts/lang/en_us.json,,ok,missing,572,0,0,572,0,
repeatable_trial_vaults-neoforge-1.21-1.0.3.jar,repeatable_trial_vaults,assets/repeatable_trial_vaults/lang/en_us.json,,ok,missing,1,0,0,1,0,
repurposed_structures-7.5.22+1.21.1-neoforge.jar,repurposed_structures,assets/repurposed_structures/lang/en_us.json,assets/repurposed_structures/lang/ko_kr.json,ok,ok,163,32,32,131,0,
resourcefulconfig-neoforge-1.21-3.0.11.jar,resourcefulconfig,assets/resourcefulconfig/lang/en_us.json,,ok,missing,28,0,0,28,0,
restrictions-1.21-7.0.3.jar,restrictions,assets/restrictions/lang/en_us.json,,ok,missing,12,0,0,12,0,
rftoolsbase-1.21-6.0.11.jar,rftoolsbase,assets/rftoolsbase/lang/en_us.json,,ok,missing,55,0,0,55,0,
rftoolsbuilder-1.21-7.0.6.jar,rftoolsbuilder,assets/rftoolsbuilder/lang/en_us.json,assets/rftoolsbuilder/lang/ko_kr.json,ok,ok,97,76,50,47,26,
rftoolspower-1.21-7.0.6.jar,rftoolspower,assets/rftoolspower/lang/en_us.json,assets/rftoolspower/lang/ko_kr.json,ok,ok,65,53,39,26,14,
rftoolsstorage-1.21-6.0.5.jar,rftoolsstorage,assets/rftoolsstorage/lang/en_us.json,assets/rftoolsstorage/lang/ko_kr.json,ok,ok,41,53,41,0,12,
rftoolsutility-1.21-7.0.12.jar,rftoolsutility,assets/rftoolsutility/lang/en_us.json,,ok,missing,242,0,0,242,0,
RootsClassic-1.21.1-1.5.7.jar,rootsclassic,assets/rootsclassic/lang/en_us.json,,ok,missing,483,0,0,483,0,
sawmill-1.21-1.8.0-neoforge.jar,sawmill,assets/sawmill/lang/en_us.json,,ok,missing,8,0,0,8,0,
Searchables-neoforge-1.21.1-1.0.2.jar,searchables,assets/searchables/lang/en_us.json,assets/searchables/lang/ko_kr.json,ok,ok,1,1,1,0,0,
sgearmetalworks-1.21.1-1.5.0.jar,sgearmetalworks,assets/sgearmetalworks/lang/en_us.json,,ok,missing,132,0,0,132,0,
shiny-1.21.1-1.3.0.jar,shiny,assets/shiny/lang/en_us.json,,ok,missing,137,0,0,137,0,
shrink-2.0.1.47-neoforge.jar,shrink,assets/shrink/lang/en_us.json,,ok,missing,12,0,0,12,0,
silent-gear-1.21.1-neoforge-4.2.1.1.jar,silentgear,assets/silentgear/lang/en_us.json,assets/silentgear/lang/ko_kr.json,ok,ok,1191,897,818,373,79,
silent-lib-1.21.1-neoforge-10.6.0.jar,silentlib,assets/silentlib/lang/en_us.json,,ok,missing,5,0,0,5,0,
silentgems-1.21.1-neoforge-5.1.3.jar,silentgems,assets/silentgems/lang/en_us.json,,ok,missing,118,0,0,118,0,
simple_weather-1.0.13-hotfix.jar,simple_weather,assets/simple_weather/lang/en_us.json,,ok,missing,19,0,0,19,0,
SimpleBackups-1.21-4.0.30.jar,simplebackups,assets/simplebackups/lang/en_us.json,,ok,missing,40,0,0,40,0,
simplemagnets-1.1.12c-neoforge-mc1.21.jar,simplemagnets,assets/simplemagnets/lang/en_us.json,assets/simplemagnets/lang/ko_kr.json,ok,ok,38,35,30,8,5,
